"Ativo","Data","LPA| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov","VPA| Em moeda orig| consolid:sim*| ajust p/ prov","Vendas/Acao| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov","EBITDA/Acao| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov"
"QVQP3<XBSP>","1T2007",-0.0012169444474,0.0058613471247,0,"-"
"QVQP3<XBSP>","2T2007",-0.0012378907502,0.0057997783524,0,"-"
"QVQP3<XBSP>","3T2007",-0.00051756426761,0.005762837089,0,"-"
"QVQP3<XBSP>","4T2007",-0.00068957024997,0.0057258958256,0,-0.0010220416204
"QVQP3<XBSP>","1T2008",-0.00070188400443,0.0051594631203,0,"-"
"QVQP3<XBSP>","2T2008",-0.00091121783032,0.0048762467676,0,"-"
"QVQP3<XBSP>","3T2008",-0.0007342612177,0.0049161063842,0,"-"
"QVQP3<XBSP>","4T2008",-0.00062122236612,0.004908669007,0,-0.0010130703201
"QVQP3<XBSP>","1T2009",-0.00051771369077,0.0045962991611,0,"-"
"QVQP3<XBSP>","2T2009",-0.00063310076937,0.0042690545606,0,"-"
"QVQP3<XBSP>","3T2009",-0.00073630035105,0.0041798060332,0,"-"
"QVQP3<XBSP>","4T2009",-0.00096935098869,0.0039269925165,0,-0.0011719019415
"QVQP3<XBSP>","1T2010",-0.0008874933334,0.0037081222728,0,-0.0010445113846
"QVQP3<XBSP>","2T2010",0.018683560449,0.02074186185,0,0.018529839006
"QVQP3<XBSP>","3T2010",0.017868292686,0.00045387006237,0,0.017388284823
"QVQP3<XBSP>","4T2010",0.017506581582,0.0005843577053,0,0.016941481122
"QVQP3<XBSP>","1T2011",0.017420228281,0.00048791031705,0,0.016753507081
"QVQP3<XBSP>","2T2011",0.00021558827961,0.00039713630457,0,-0.00051060382017
"QVQP3<XBSP>","3T2011",-0.00010779413982,0.00035174929834,0,-0.00048791031705
"QVQP3<XBSP>","4T2011",-0.00039146292879,0.00019289477651,0,-0.00066378496621
"QVQP3<XBSP>","1T2012",0.0025359989735,0.0030239092905,0,0.00211049579
"QVQP3<XBSP>","2T2012",0.0025189788461,0.0029161151507,0,0.0021275159174
"QVQP3<XBSP>","3T2012",0.0025643658524,0.0029161151507,0,0.0021331892931
"QVQP3<XBSP>","4T2012",0.0026551398649,0.0022806970634,0,0.0022012698025
"QVQP3<XBSP>","1T2013",-0.00037444280145,0.0020878022869,0,-0.00057301095374
"QVQP3<XBSP>","2T2013",-0.00030068891632,0.0020537620322,0,-0.00048791031705
"QVQP3<XBSP>","3T2013",-0.00029501554054,0.0020537620322,0,-0.00047656356549
"QVQP3<XBSP>","4T2013",0.00053897069823,0.0026835052365,0,0.00035742267356
"QVQP3<XBSP>","1T2014",0.00048223687374,0.002439550215,0,0.00027799537427
"QVQP3<XBSP>","2T2014",-0.000034040245145,0.0018892330735,0,-0.00024962846439
"QVQP3<XBSP>","3T2014",-0.000051060360489,0.0018665395831,0,-0.0002723219226
"QVQP3<XBSP>","4T2014",-0.00085667926155,0.001826825975,0,-0.0010779407926
"QVQP3<XBSP>","1T2015",-0.00088504612452,0.0015545040905,0,-0.00107226742
"QVQP3<XBSP>","2T2015",-0.00039713608151,0.0014920969919,0,-0.00056733725931
"QVQP3<XBSP>","3T2015",-0.00041415619929,0.0014523833838,0,-0.00057868400449
"QVQP3<XBSP>","4T2015",-0.00041415619929,0.0014126697756,0,-0.0005730106319
"QVQP3<XBSP>","1T2016",-0.00057868400449,0.0012481419704,0,-0.00077157867266
"QVQP3<XBSP>","2T2016",-0.0007375384371,0.0010268804393,0,-0.00092475973267
"QVQP3<XBSP>","3T2016",-0.00048223667041,0.00097014671342,0,-0.00061272424005
"QVQP3<XBSP>","4T2016",-0.00056166388671,0.00085100588896,0,-0.00066945796598
"QVQP3<XBSP>","1T2017",-0.00057868400449,0.00066945796598,0,-0.00066378459339
"QVQP3<XBSP>","2T2017",-0.0004935834156,0.00053329702375,0,-0.00056166388671
"QVQP3<XBSP>","3T2017",-0.00083398577118,0.00013616094223,0,-0.00087937275193
"QVQP3<XBSP>","4T2017",-0.00084042475297,0.00053687816087,0,-0.00087404174309
"QVQP3<XBSP>","1T2018",-0.00092327664437,0.00076428447687,0,-0.0010441819192
"QVQP3<XBSP>","2T2018",-0.00088795252568,0.00065218942026,0,-0.0010056329808
"QVQP3<XBSP>","3T2018",-0.00060420434322,0.00055028482335,0,-0.0007344207965
"QVQP3<XBSP>","4T2018",-0.00054925327291,0.00047385637566,0,-0.00068271668502
"QVQP3<XBSP>","1T2019",-0.00066772336407,0.00056723972423,0,-0.00071324995707
"QVQP3<XBSP>","2T2019",-0.00069437572768,0.00042664184387,0,-0.00073433979834
"QVQP3<XBSP>","3T2019",-0.00067587449076,0.00034422239676,0,-0.00070054144298
"QVQP3<XBSP>","4T2019",-0.00067244611742,0.0002666512804,0,-0.00069193730923
"QVQP3<XBSP>","1T2020",-0.00061588229426,0.00092397198953,0,-0.00062550545511
"QVQP3<XBSP>","2T2020",-0.00061408158086,0.00078384353614,0,-0.00062345687217
"QVQP3<XBSP>","3T2020",-0.00058479032954,0.00071816118542,0,-0.00059849635289
"QVQP3<XBSP>","4T2020",-0.00056140523756,0.00065685212526,0,-0.00057031643181
"QVQP3<XBSP>","1T2021",-0.00063057867361,0.00029339394928,0,-0.00063933671075
"QVQP3<XBSP>","2T2021",-0.00047895317364,0.00013876190713,0,-0.00048655560497
"QVQP3<XBSP>","3T2021",-0.00039605921049,0.00010519047798,0,-0.00040234586463
"QVQP3<XBSP>","4T2021",-0.00034298423945,0.00025066667095,0,-0.0003483433682
"QVQP3<XBSP>","1T2022",-0.00024118473525,0.00012085714492,0,-0.00025055113273
"QVQP3<XBSP>","2T2022",-0.00021493976581,0.000096583902809,0,-0.00022486006269
"QVQP3<XBSP>","3T2022",-0.00014655241083,0.000090774344746,0,-0.00015727575797
"QVQP3<XBSP>","4T2022",-0.00010710030692,0.000084964786682,0,-0.00011920729814
"QVQP3<XBSP>","1T2023",-0.000092853205932,0.000038488322172,0,-0.0001028291702
"QVQP3<XBSP>","2T2023",-0.000065768657288,0.000030702492503,0,-0.000071650407127
"QVQP3<XBSP>","3T2023",-0.000038218798583,0.000034481260811,0,-0.000044781622582
"QVQP3<XBSP>","4T2023",-0.000029904804332,0.000032591876657,0,-0.000035039972753
"ABCB4<XBSP>","4T2006",0.66853535083,4.8092570008,"-","-"
"ABCB4<XBSP>","1T2007","-",5.0332821009,"-","-"
"ABCB4<XBSP>","2T2007","-",5.2902407867,"-","-"
"ABCB4<XBSP>","3T2007","-",7.9835605257,"-","-"
"ABCB4<XBSP>","4T2007",0.88080046015,8.0031559025,"-","-"
"ABCB4<XBSP>","1T2008",0.96226237774,8.1611279624,"-","-"
"ABCB4<XBSP>","2T2008",1.0148888288,8.3437969795,"-","-"
"ABCB4<XBSP>","3T2008",1.3265227554,8.5805319758,"-","-"
"ABCB4<XBSP>","4T2008",1.1077380773,8.638240248,"-","-"
"ABCB4<XBSP>","1T2009",1.0235797605,8.7416766138,"-","-"
"ABCB4<XBSP>","2T2009",0.94910203908,8.6237232463,"-","-"
"ABCB4<XBSP>","3T2009",0.87472925923,8.7925871883,"-","-"
"ABCB4<XBSP>","4T2009",1.1241528427,9.0623128251,"-","-"
"ABCB4<XBSP>","1T2010",1.2951590648,9.2758322951,"-","-"
"ABCB4<XBSP>","2T2010",1.4051244182,9.5132191185,"-","-"
"ABCB4<XBSP>","3T2010",1.5018136028,9.7587501462,"-","-"
"ABCB4<XBSP>","4T2010",1.5040672045,10.02531479,"-","-"
"ABCB4<XBSP>","1T2011",1.57656178,10.296208135,"-","-"
"ABCB4<XBSP>","2T2011",1.6513471455,10.592999305,"-","-"
"ABCB4<XBSP>","3T2011",1.7064929968,10.884996194,"-","-"
"ABCB4<XBSP>","4T2011",1.7565850269,11.189906344,"-","-"
"ABCB4<XBSP>","1T2012",1.7594644335,11.458678066,"-","-"
"ABCB4<XBSP>","2T2012",1.7223080833,11.696935818,"-","-"
"ABCB4<XBSP>","3T2012",1.6839924169,11.820041663,"-","-"
"ABCB4<XBSP>","4T2012",1.662551402,12.114805129,"-","-"
"ABCB4<XBSP>","1T2013",1.6618401937,12.364348849,"-","-"
"ABCB4<XBSP>","2T2013",1.7068860778,12.660114605,"-","-"
"ABCB4<XBSP>","3T2013",1.7816378643,12.924704034,"-","-"
"ABCB4<XBSP>","4T2013",1.8801228638,13.324051793,"-","-"
"ABCB4<XBSP>","1T2014",1.9581694948,13.556616833,"-","-"
"ABCB4<XBSP>","2T2014",2.0375860098,13.86407805,"-","-"
"ABCB4<XBSP>","3T2014",2.0825207456,14.137423153,"-","-"
"ABCB4<XBSP>","4T2014",2.1013845862,14.540393395,"-","-"
"ABCB4<XBSP>","1T2015",2.1293438842,14.704220964,"-","-"
"ABCB4<XBSP>","2T2015",2.1779980077,15.129548135,"-","-"
"ABCB4<XBSP>","3T2015",2.2596957963,15.230550131,"-","-"
"ABCB4<XBSP>","4T2015",2.3731669857,15.70858014,"-","-"
"ABCB4<XBSP>","1T2016",2.4080729087,15.538755539,"-","-"
"ABCB4<XBSP>","2T2016",2.4409530175,15.903950694,"-","-"
"ABCB4<XBSP>","3T2016",2.4247946822,15.902306508,"-","-"
"ABCB4<XBSP>","4T2016",2.378824138,16.268409773,"-","-"
"ABCB4<XBSP>","1T2017",2.3528988328,16.243904846,"-","-"
"ABCB4<XBSP>","2T2017",2.3129834838,16.568247338,"-","-"
"ABCB4<XBSP>","3T2017",2.2747997922,16.981854796,"-","-"
"ABCB4<XBSP>","4T2017",2.2323970301,16.399166557,"-","-"
"ABCB4<XBSP>","1T2018",2.2283479636,16.975903829,"-","-"
"ABCB4<XBSP>","2T2018",2.2095388429,17.229431552,"-","-"
"ABCB4<XBSP>","3T2018",2.2411327857,18.093867815,"-","-"
"ABCB4<XBSP>","4T2018",2.0671522369,17.570404799,"-","-"
"ABCB4<XBSP>","1T2019",2.0973579726,17.608299011,"-","-"
"ABCB4<XBSP>","2T2019",2.15897455,18.060466324,"-","-"
"ABCB4<XBSP>","3T2019",2.1885152688,18.385302216,"-","-"
"ABCB4<XBSP>","4T2019",2.4647741825,18.877819482,"-","-"
"ABCB4<XBSP>","1T2020",2.2748024489,18.954448404,"-","-"
"ABCB4<XBSP>","2T2020",1.9528556482,19.177816767,"-","-"
"ABCB4<XBSP>","3T2020",1.6885191908,19.492991289,"-","-"
"ABCB4<XBSP>","4T2020",1.501031762,19.729256032,"-","-"
"ABCB4<XBSP>","1T2021","-",19.972080856,"-","-"
"ABCB4<XBSP>","2T2021","-",20.25438667,"-","-"
"ABCB4<XBSP>","3T2021","-",20.694595693,"-","-"
"ABCB4<XBSP>","4T2021",2.5926598221,21.215905612,"-","-"
"ABCB4<XBSP>","1T2022",2.8668015801,21.657484816,"-","-"
"ABCB4<XBSP>","2T2022",3.1709329503,22.275301132,"-","-"
"ABCB4<XBSP>","3T2022",3.4726088247,22.961515445,"-","-"
"ABCB4<XBSP>","4T2022",3.6298441734,23.569480826,"-","-"
"ABCB4<XBSP>","1T2023",3.6578438559,23.946639302,"-","-"
"ABCB4<XBSP>","2T2023",3.6547109584,24.517504713,"-","-"
"ABCB4<XBSP>","3T2023",3.6768544538,25.822692614,"-","-"
"ABCB4<XBSP>","4T2023",3.8173775599,25.24927847,"-","-"
"EALT3<XBSP>","2T2018","-",4.2213333333,"-","-"
"EALT3<XBSP>","3T2018","-",4.3789333333,"-","-"
"EALT3<XBSP>","4T2018",0.5444,6.8721777778,10.976044444,1.3373333333
"EALT3<XBSP>","1T2019",0.63751111111,7.1277333333,12.309377777,"-"
"EALT3<XBSP>","2T2019",0.73568888889,7.1501333333,13.256488888,1.5700888889
"EALT3<XBSP>","3T2019",0.78466666667,7.3566666667,13.131155555,1.7457777778
"EALT3<XBSP>","4T2019",0.74893333333,7.2345777778,13.297511111,1.6553333333
"EALT3<XBSP>","1T2020",0.70337777778,7.4481333333,12.043288888,1.5001333333
"EALT3<XBSP>","2T2020",0.66226666667,7.4984444444,11.619555555,1.6458666667
"EALT3<XBSP>","3T2020",0.93271111111,7.9777777778,11.363644444,1.6360888889
"EALT3<XBSP>","4T2020",1.1218666667,8.1617777778,11.189822222,1.9013777778
"EALT3<XBSP>","1T2021",1.1672888889,8.0118666667,11.780444444,1.9343111111
"EALT3<XBSP>","2T2021",1.2428444444,8.2538222222,12.570977777,1.8976
"EALT3<XBSP>","3T2021",1.3116,8.6447111111,15.036888888,2.2172888889
"EALT3<XBSP>","4T2021",1.6139111111,8.3429777778,17.18,2.5526222222
"EALT3<XBSP>","1T2022",1.8398666667,8.3949333333,19.351333333,3.1342666667
"EALT3<XBSP>","2T2022",2.1572444444,8.7901777778,21.268177778,3.5405777778
"EALT3<XBSP>","3T2022",1.9200444444,9.0971111111,21.624177778,3.4884888889
"EALT3<XBSP>","4T2022",1.6445333333,9.5594222222,21.872933333,3.3694222222
"EALT3<XBSP>","1T2023",1.5386666667,9.4447555556,21.311555556,3.2130666667
"EALT3<XBSP>","2T2023",1.3923555556,9.8604444444,20.880711111,3.1065333333
"EALT3<XBSP>","3T2023",1.5012,10.278711111,21.214044444,3.1793333333
"EALT3<XBSP>","4T2023",2.1916888889,10.8256,22.021288889,3.3728444444
"EALT4<XBSP>","2T2018","-",4.2213333333,"-","-"
"EALT4<XBSP>","3T2018","-",4.3789333333,"-","-"
"EALT4<XBSP>","4T2018",0.5444,6.8721777778,10.976044444,1.3373333333
"EALT4<XBSP>","1T2019",0.63751111111,7.1277333333,12.309377777,"-"
"EALT4<XBSP>","2T2019",0.73568888889,7.1501333333,13.256488888,1.5700888889
"EALT4<XBSP>","3T2019",0.78466666667,7.3566666667,13.131155555,1.7457777778
"EALT4<XBSP>","4T2019",0.74893333333,7.2345777778,13.297511111,1.6553333333
"EALT4<XBSP>","1T2020",0.70337777778,7.4481333333,12.043288888,1.5001333333
"EALT4<XBSP>","2T2020",0.66226666667,7.4984444444,11.619555555,1.6458666667
"EALT4<XBSP>","3T2020",0.93271111111,7.9777777778,11.363644444,1.6360888889
"EALT4<XBSP>","4T2020",1.1218666667,8.1617777778,11.189822222,1.9013777778
"EALT4<XBSP>","1T2021",1.1672888889,8.0118666667,11.780444444,1.9343111111
"EALT4<XBSP>","2T2021",1.2428444444,8.2538222222,12.570977777,1.8976
"EALT4<XBSP>","3T2021",1.3116,8.6447111111,15.036888888,2.2172888889
"EALT4<XBSP>","4T2021",1.6139111111,8.3429777778,17.18,2.5526222222
"EALT4<XBSP>","1T2022",1.8398666667,8.3949333333,19.351333333,3.1342666667
"EALT4<XBSP>","2T2022",2.1572444444,8.7901777778,21.268177778,3.5405777778
"EALT4<XBSP>","3T2022",1.9200444444,9.0971111111,21.624177778,3.4884888889
"EALT4<XBSP>","4T2022",1.6445333333,9.5594222222,21.872933333,3.3694222222
"EALT4<XBSP>","1T2023",1.5386666667,9.4447555556,21.311555556,3.2130666667
"EALT4<XBSP>","2T2023",1.3923555556,9.8604444444,20.880711111,3.1065333333
"EALT4<XBSP>","3T2023",1.5012,10.278711111,21.214044444,3.1793333333
"EALT4<XBSP>","4T2023",2.1916888889,10.8256,22.021288889,3.3728444444
"AERI3<XBSP>","4T2018",0.19133284236,"-",1.0615667687,0.28443230342
"AERI3<XBSP>","1T2019","-","-","-","-"
"AERI3<XBSP>","2T2019","-","-","-","-"
"AERI3<XBSP>","3T2019","-","-","-","-"
"AERI3<XBSP>","4T2019",0.14555730044,0.28574448751,1.3683767315,0.2431345897
"AERI3<XBSP>","1T2020","-",0.31418607762,"-","-"
"AERI3<XBSP>","2T2020","-",0.18787851775,"-","-"
"AERI3<XBSP>","3T2020","-",0.27975955046,"-","-"
