"Ativo","Data","LiqGer| consolid:sim*","LiqGer| consolid:sim*","LiqCor| consolid:sim*","CapGir| Em moeda orig| em milhares| consolid:sim*","Cap Empl| Em moeda orig| em milhares| consolid:sim*"
"QVQP3<XBSP>","1T2007",9.6545454546,9.6545454546,17.7,501,501
"QVQP3<XBSP>","2T2007",7.6338028169,7.6338028169,15.485714285,507,507
"QVQP3<XBSP>","3T2007",7.0779220779,7.0779220779,13.292682926,504,504
"QVQP3<XBSP>","4T2007",6.4069767442,6.4069767442,12.522727272,507,507
"QVQP3<XBSP>","1T2008",4.1037037037,4.1037037037,0,-45,509
"QVQP3<XBSP>","2T2008",3.3431952663,3.3431952663,"-",3,565
"QVQP3<XBSP>","3T2008",11.015151515,11.015151515,"-",158,727
"QVQP3<XBSP>","4T2008",11.153846153,11.153846153,2.1692307692,76,660
"QVQP3<XBSP>","1T2009",16.073170732,16.073170732,33.5,65,657
"QVQP3<XBSP>","2T2009",8.552631579,8.552631579,"-",52,650
"QVQP3<XBSP>","3T2009",8.3947368421,8.3947368421,"-",35,638
"QVQP3<XBSP>","4T2009","-","-","-",28,636
"QVQP3<XBSP>","1T2010",634,634,21,20,633
"QVQP3<XBSP>","2T2010",108.52941176,108.52941176,108.52941176,3656,3656
"QVQP3<XBSP>","3T2010",1.092272203,1.092272203,1.0818915802,71,80
"QVQP3<XBSP>","4T2010",1.1211764706,1.1211764706,1.1211764706,103,103
"QVQP3<XBSP>","1T2011",1.0980615735,1.0980615735,1.0980615735,86.000000001,86.000000001
"QVQP3<XBSP>","2T2011",4.6842105263,4.6842105263,4.6842105263,70,70
"QVQP3<XBSP>","3T2011",7.8888888889,7.8888888889,7.8888888889,62,62
"QVQP3<XBSP>","4T2011",35,35,35,34,34
"QVQP3<XBSP>","1T2012",107.6,107.6,107.6,533,533
"QVQP3<XBSP>","2T2012","-","-","-",514,514
"QVQP3<XBSP>","3T2012",258,258,258,514,514
"QVQP3<XBSP>","4T2012",4.9801980198,4.9801980198,4.9801980198,402,402
"QVQP3<XBSP>","1T2013",4.6078431373,4.6078431373,4.6078431373,368,368
"QVQP3<XBSP>","2T2013",182,182,182,362,362
"QVQP3<XBSP>","3T2013",363,363,363,362,362
"QVQP3<XBSP>","4T2013",16.766666667,16.766666667,16.766666667,473,473
"QVQP3<XBSP>","1T2014",18.916666667,18.916666667,18.916666667,430,430
"QVQP3<XBSP>","2T2014",14.875,14.875,14.875,333,333
"QVQP3<XBSP>","3T2014","-","-","-",329,329
"QVQP3<XBSP>","4T2014","-","-","-",322,322
"QVQP3<XBSP>","1T2015","-","-","-",274,274
"QVQP3<XBSP>","2T2015","-","-","-",263,263
"QVQP3<XBSP>","3T2015","-","-","-",256,256
"QVQP3<XBSP>","4T2015","-","-","-",249,249
"QVQP3<XBSP>","1T2016","-","-","-",220,220
"QVQP3<XBSP>","2T2016",11.647058823,11.647058823,11.647058823,181,181
"QVQP3<XBSP>","3T2016","-","-","-",171,171
"QVQP3<XBSP>","4T2016","-","-","-",150,150
"QVQP3<XBSP>","1T2017","-","-","-",118,118
"QVQP3<XBSP>","2T2017","-","-","-",94,94
"QVQP3<XBSP>","3T2017","-","-","-",24,24
"QVQP3<XBSP>","4T2017","-","-","-",100,100
"QVQP3<XBSP>","1T2018",11,11,11,150,150
"QVQP3<XBSP>","2T2018","-","-","-",128,128
"QVQP3<XBSP>","3T2018","-","-","-",101,108
"QVQP3<XBSP>","4T2018","-","-","-",86,93
"QVQP3<XBSP>","1T2019","-","-","-",110,117
"QVQP3<XBSP>","2T2019","-","-","-",81,88
"QVQP3<XBSP>","3T2019","-","-","-",64,71
"QVQP3<XBSP>","4T2019","-","-","-",48,55
"QVQP3<XBSP>","1T2020",11.55,11.55,11.2,204,211
"QVQP3<XBSP>","2T2020","-","-","-",172,179
"QVQP3<XBSP>","3T2020","-","-","-",164,164
"QVQP3<XBSP>","4T2020","-","-","-",150,150
"QVQP3<XBSP>","1T2021",8.4444444444,8.4444444444,8.4444444444,67,67
"QVQP3<XBSP>","2T2021","-","-","-",62,62
"QVQP3<XBSP>","3T2021","-","-","-",47,47
"QVQP3<XBSP>","4T2021","-","-","-",112,112
"QVQP3<XBSP>","1T2022","-","-","-",54,54
"QVQP3<XBSP>","2T2022","-","-","-",133,133
"QVQP3<XBSP>","3T2022","-","-","-",125,125
"QVQP3<XBSP>","4T2022","-","-","-",117,117
"QVQP3<XBSP>","1T2023","-","-","-",53,53
"QVQP3<XBSP>","2T2023","-","-","-",130,130
"QVQP3<XBSP>","3T2023","-","-","-",146,146
"QVQP3<XBSP>","4T2023","-","-","-",138,138
"ABCB4<XBSP>","4T2006",1.129378315,1.129378315,1.2233153975,"-","-"
"ABCB4<XBSP>","1T2007",1.1197207661,1.1197207661,1.1692475993,"-","-"
"ABCB4<XBSP>","2T2007",1.1343412113,1.1343412113,1.1561563204,"-","-"
"ABCB4<XBSP>","3T2007",1.2506016443,1.2506016443,1.231203294,"-","-"
"ABCB4<XBSP>","4T2007",1.2365468712,1.2365468712,1.121640958,"-","-"
"ABCB4<XBSP>","1T2008",1.2315497193,1.2315497193,1.1603825376,"-","-"
"ABCB4<XBSP>","2T2008",1.218144397,1.218144397,1.0843996109,"-","-"
"ABCB4<XBSP>","3T2008",1.1770072984,1.1770072984,1.0679339121,"-","-"
"ABCB4<XBSP>","4T2008",1.1831804938,1.1831804938,1.0883671408,"-","-"
"ABCB4<XBSP>","1T2009",1.2055876253,1.2055876253,1.1496760204,"-","-"
"ABCB4<XBSP>","2T2009",1.2119561776,1.2119561776,1.1453098239,"-","-"
"ABCB4<XBSP>","3T2009",1.1883192562,1.1883192562,1.1846783605,"-","-"
"ABCB4<XBSP>","4T2009",1.1985315529,1.1985315529,1.1483747473,"-","-"
"ABCB4<XBSP>","1T2010",1.1810364168,1.1810364168,1.0935700918,"-","-"
"ABCB4<XBSP>","2T2010",1.1522588873,1.1522588873,1.2879791529,"-","-"
"ABCB4<XBSP>","3T2010",1.1540520426,1.1540520426,1.2588276506,"-","-"
"ABCB4<XBSP>","4T2010",1.159637273,1.159637273,1.3009925861,"-","-"
"ABCB4<XBSP>","1T2011",1.1651482052,1.1651482052,1.1557803783,"-","-"
"ABCB4<XBSP>","2T2011",1.1616202771,1.1616202771,1.1409530725,"-","-"
"ABCB4<XBSP>","3T2011",1.143793949,1.143793949,1.1265928669,"-","-"
"ABCB4<XBSP>","4T2011",1.1669612185,1.1669612185,1.111958168,"-","-"
"ABCB4<XBSP>","1T2012",1.1526903426,1.1526903426,1.123854459,"-","-"
"ABCB4<XBSP>","2T2012",1.1381880167,1.1381880167,1.1193171145,"-","-"
"ABCB4<XBSP>","3T2012",1.1425381165,1.1425381165,1.1626639858,"-","-"
"ABCB4<XBSP>","4T2012",1.1428332855,1.1428332855,1.1987993851,"-","-"
"ABCB4<XBSP>","1T2013",1.1443810724,1.1443810724,1.2182753126,"-","-"
"ABCB4<XBSP>","2T2013",1.1234339415,1.1234339415,1.1283746525,"-","-"
"ABCB4<XBSP>","3T2013",1.1223934924,1.1223934924,1.112606431,"-","-"
"ABCB4<XBSP>","4T2013",1.125772341,1.125772341,1.1297515387,"-","-"
"ABCB4<XBSP>","1T2014",1.1217623033,1.1217623033,1.1160830815,"-","-"
"ABCB4<XBSP>","2T2014",1.1259405283,1.1259405283,1.0783897738,"-","-"
"ABCB4<XBSP>","3T2014",1.1247608099,1.1247608099,1.1205837144,"-","-"
"ABCB4<XBSP>","4T2014",1.1179271769,1.1179271769,1.1143306293,"-","-"
"ABCB4<XBSP>","1T2015",1.1082850473,1.1082850473,1.1728061808,"-","-"
"ABCB4<XBSP>","2T2015",1.1117751016,1.1117751016,1.1973141396,"-","-"
"ABCB4<XBSP>","3T2015",1.1007504415,1.1007504415,1.1871976816,"-","-"
"ABCB4<XBSP>","4T2015",1.1150899104,1.1150899104,1.1827986581,"-","-"
"ABCB4<XBSP>","1T2016",1.1255665366,1.1255665366,1.1909247721,"-","-"
"ABCB4<XBSP>","2T2016",1.1335958783,1.1335958783,1.2363037513,"-","-"
"ABCB4<XBSP>","3T2016",1.1360818627,1.1360818627,1.2118102333,"-","-"
"ABCB4<XBSP>","4T2016",1.1265727421,1.1265727421,1.2756913561,"-","-"
"ABCB4<XBSP>","1T2017",1.1303775559,1.1303775559,1.287805586,"-","-"
"ABCB4<XBSP>","2T2017",1.1311132199,1.1311132199,1.272384694,"-","-"
